Number,Series,Division,MatchType,Date,Time,TeamOne,TeamTwo,Ground,UmpireOne,UmpireTwo,UmpireThree,UmpireFour,MatchManager,Scorer1,Scorer2
107,CPLKC-T15-SPRING-2026,Div B,League,05/09/2026,8:00 AM,Dominators,Pehlwan XI,PCG,Ace XI,Ace XI,,,,,
108,CPLKC-T15-SPRING-2026,Div B,League,05/02/2026,10:45 AM,Killer XI,Pehlwan XI,PCG,Kansas Eagles,Kansas Eagles,,,,,
109,CPLKC-T15-SPRING-2026,Div D,League,06/27/2026,4:15 PM,Rc's XI,Shivams,OCG,Jaguars,Jaguars,,,,,
110,CPLKC-T15-SPRING-2026,Div D,League,04/25/2026,4:15 PM,Elites XI,KC Khiladis,PCG,KC Raptors,KC Raptors,,,,,
111,CPLKC-T15-SPRING-2026,Div D,League,05/02/2026,4:15 PM,KC Khiladis,Shivams,PCG,Dominators,Dominators,,,,,
112,CPLKC-T15-SPRING-2026,Div D,League,05/09/2026,10:45 AM,KC Khiladis,Rc's XI,PCG,KC Lions,KC Lions,,,,,
113,CPLKC-T15-SPRING-2026,Div C,League,06/21/2026,4:15 PM,Bharat XI,KC Blues,PCG,Shivams,Shivams,,,,,
114,CPLKC-T15-SPRING-2026,Div D,League,06/27/2026,8:00 AM,Bengal Warriors,Punjab Eagles,PCG,World XI,World XI,,,,,
115,CPLKC-T15-SPRING-2026,Div D,League,07/11/2026,10:45 AM,Bengal Warriors,KC Supernovas,PCG,KC Raptors,KC Raptors,,,,,
116,CPLKC-T15-SPRING-2026,Div C,League,06/28/2026,4:15 PM,Bharat XI,KC Lions,PCG,Telugu Yuvatha,Telugu Yuvatha,,,,,
117,CPLKC-T15-SPRING-2026,Div A,League,06/21/2026,4:15 PM,KC Rockers,Lakes XI,OCG,Elites XI,Elites XI,,,,,
118,CPLKC-T15-SPRING-2026,Div A,League,07/11/2026,10:45 AM,KC Rockers,Pirates,OCG,Rising Stars,Rising Stars,,,,,
119,CPLKC-T15-SPRING-2026,Div A,League,07/12/2026,4:15 PM,Lakes XI,LIMRA Defenders,OCG,Dominators,Dominators,,,,,
120,CPLKC-T15-SPRING-2026,Div B,League,04/26/2026,8:00 AM,Sunrisers Lakes XI,Wolves,OCG,KC Rockers,KC Rockers,,,,,
121,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,10:45 AM,KC Fusion,KC Legends,PCG,Kansas Kings,Kansas Kings,,,,,
122,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,1:30 PM,KC Legends,Shivams,PCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,
123,CPLKC-T15-SPRING-2026,Div D,League,06/28/2026,10:45 AM,Elites XI,KC Legends,OCG,Blue Titans,Blue Titans,,,,,
124,CPLKC-T15-SPRING-2026,Div D,League,07/12/2026,10:45 AM,KC Legends,Rc's XI,OCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,
125,CPLKC-T15-SPRING-2026,Div D,League,06/21/2026,10:45 AM,KC Fusion,Shivams,PCG,Blue Caps,Blue Caps,,,,,
126,CPLKC-T15-SPRING-2026,Div D,League,05/03/2026,1:30 PM,Elites XI,Rc's XI,PCG,KC Blues,KC Blues,,,,,
