Number,Series,Division,MatchType,Date,Time,TeamOne,TeamTwo,Ground,UmpireOne,UmpireTwo,UmpireThree,UmpireFour,MatchManager,Scorer1,Scorer2,IsFixed
124,CPLKC-T15-SPRING-2026,Div D,League,05/30/2026,1:30 PM,KC Fusion,Punjab Eagles,OCG,Blue Caps,Blue Caps,,,,,,False
125,CPLKC-T15-SPRING-2026,Div D,League,07/11/2026,8:00 AM,Elites XI,KC Supernovas,PCG,KC Blues,KC Blues,,,,,,False
126,CPLKC-T15-SPRING-2026,Div D,League,07/11/2026,1:30 PM,KC Legends,Punjab Eagles,PCG,KC Blues,KC Blues,,,,,,False
127,CPLKC-T15-SPRING-2026,Div C,League,05/17/2026,4:15 PM,Blue Caps,KC Blues,OCG,KC Rockers,KC Rockers,,,,,,False
128,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,4:15 PM,Punjab Eagles,Rc's XI,PCG,Kansas Kings,Kansas Kings,,,,,,False
129,CPLKC-T15-SPRING-2026,Div C,League,07/11/2026,10:45 AM,Jaguars,KC Blues,PCG,KC Legends,KC Legends,,,,,,False
130,CPLKC-T15-SPRING-2026,Div B,League,06/07/2026,8:00 AM,Blue Titans,KC Royals,PCG,KC Raptors,KC Raptors,,,,,,False
131,CPLKC-T15-SPRING-2026,Div A,League,07/12/2026,1:30 PM,Lakes XI,LIMRA Defenders,OCG,Punjab XI,Punjab XI,,,,,,False
132,CPLKC-T15-SPRING-2026,Div B,League,06/06/2026,10:45 AM,Dominators,Wolves,PCG,KC Khiladis,KC Khiladis,,,,,,False
133,CPLKC-T15-SPRING-2026,Div B,League,05/02/2026,8:00 AM,Dominators,KC Royals,PCG,Ace XI,Ace XI,,,,,,False
134,CPLKC-T15-SPRING-2026,Div A,League,05/30/2026,1:30 PM,KC Raptors,Pirates,PCG,Dominators,Dominators,,,,,,False
135,CPLKC-T15-SPRING-2026,Div A,League,05/17/2026,1:30 PM,LIMRA Defenders,Tuskers,PCG,Kansas Eagles,Kansas Eagles,,,,,,False
136,CPLKC-T15-SPRING-2026,Div B,League,05/17/2026,8:00 AM,Blue Titans,Nepal XI,OCG,Elites XI,Elites XI,,,,,,False
137,CPLKC-T15-SPRING-2026,Div A,League,07/12/2026,8:00 AM,Kansas Kings,Telugu Yuvatha,PCG,Blue Titans,,,,,,,False
138,CPLKC-T15-SPRING-2026,Div A,League,07/11/2026,4:15 PM,KC Rockers,Pirates,PCG,KC Blues,,,,,,,False
139,CPLKC-T15-SPRING-2026,Div A,League,05/03/2026,8:00 AM,KC Raptors,Tuskers,PCG,KC Lions,Dominators,,,,,,False
140,CPLKC-T15-SPRING-2026,Div A,League,06/28/2026,4:15 PM,KC Rockers,Tuskers,PCG,Prime XI,Kansas Eagles,,,,,,False
